Feature,Importance,Feature Group,Feature Level,Missing values,Highest Correlated Feature (Correlation Value)
A15.1,2.0,diagnosis_code,post-diagnosis,0 (0.0%),country (0.33
Diabetes,2.0,comobidity,post-diagnosis,0 (0.0%),bmi (0.15
Psychiatric illness,2.0,comobidity,post-diagnosis,0 (0.0%),employment (0.12
bactec_isoniazid,2.0,bactec_isoniazid,post-diagnosis,2991 (37.0%),bactec_rifampicin (0.88
1 to 19,1.0,culture,post-diagnosis,0 (0.0%),Negative (0.19
More than 200,1.0,culture,post-diagnosis,0 (0.0%),mediumcavities (0.18
other_non_tb_abnormalities,1.0,other_non_tb_abnormalities,post-diagnosis,1898 (23.4%),are_mediastinal_lymphnodes_present (0.25
20 to 100,1.0,culture,post-diagnosis,0 (0.0%),education (0.21
Systemically administered glucocorticoids,1.0,comobidity,post-diagnosis,0 (0.0%),employment (0.06
Hepatitis B,1.0,comobidity,post-diagnosis,0 (0.0%),Hepatitis C (0.19
Hepatic diseases,1.0,comobidity,post-diagnosis,0 (0.0%),Terminated from study (0.14
timika_score,22.0,timika_score,post-scan,1898 (23.4%),overall_percent_of_abnormal_volume (0.69
isanycalcifiedorpartiallycalcifiednoduleexist,8.0,isanycalcifiedorpartiallycalcifiednoduleexist,post-scan,0 (0.0%),highdensitycalcifiedtypicallysequella (0.62
infiltrate_lowgroundglassdensity,7.0,infiltrate_lowgroundglassdensity,post-scan,0 (0.0%),infiltrate_mediumdensity (0.5
totalcavernum,6.0,totalcavernum,post-scan,7036 (86.9%),aremultiplenoduleexists (0.27
collapse,5.0,collapse,post-scan,0 (0.0%),infiltrate_highdensity (0.4
smallnodules,5.0,smallnodules,post-scan,0 (0.0%),mediumdensitystabalizedfibroticnodules (0.75
mediumcavities,5.0,mediumcavities,post-scan,0 (0.0%),isanylargecavitybelongtoamultisextantcavity (0.69
overall_percent_of_abnormal_volume,4.0,overall_percent_of_abnormal_volume,post-scan,0 (0.0%),timika_score (0.69
isanynoncalcifiednoduleexist,4.0,isanynoncalcifiednoduleexist,post-scan,0 (0.0%),aremultiplenoduleexists (0.76
smallcavities,4.0,smallcavities,post-scan,0 (0.0%),canmultiplecavitiesbeseen (0.49
largecavities,4.0,largecavities,post-scan,0 (0.0%),isanylargecavitybelongtoamultisextantcavity (0.62
largenodules,3.0,largenodules,post-scan,0 (0.0%),isanynoncalcifiednoduleexist (0.27
lung_localization,3.0,lung_localization,post-scan,0 (0.0%),A18.0 (0.32
hugenodules,3.0,hugenodules,post-scan,0 (0.0%),largenodules (0.19
lowgroundglassdensityactivefreshnodules,3.0,lowgroundglassdensityactivefreshnodules,post-scan,0 (0.0%),mediumnodules (0.71
isanylargecavitybelongtoamultisextantcavity,2.0,isanylargecavitybelongtoamultisextantcavity,post-scan,0 (0.0%),mediumcavities (0.69
mediumnodules,2.0,mediumnodules,post-scan,0 (0.0%),lowgroundglassdensityactivefreshnodules (0.71
canmultiplecavitiesbeseen,1.0,canmultiplecavitiesbeseen,post-scan,0 (0.0%),mediumcavities (0.64
are_mediastinal_lymphnodes_present,1.0,are_mediastinal_lymphnodes_present,post-scan,1898 (23.4%),mediumnodules (0.28
ispleuraleffusionbilateral,1.0,ispleuraleffusionbilateral,post-scan,1899 (23.5%),collapse (0.12
infiltrate_highdensity,1.0,infiltrate_highdensity,post-scan,0 (0.0%),isanylargecavitybelongtoamultisextantcavity (0.49
aremultiplenoduleexists,1.0,aremultiplenoduleexists,post-scan,0 (0.0%),isanynoncalcifiednoduleexist (0.76
mediumdensitystabalizedfibroticnodules,1.0,mediumdensitystabalizedfibroticnodules,post-scan,0 (0.0%),smallnodules (0.75
highdensitycalcifiedtypicallysequella,1.0,highdensitycalcifiedtypicallysequella,post-scan,0 (0.0%),isanycalcifiedorpartiallycalcifiednoduleexist (0.62
pleural_effusion_percent_of_hemithorax_involved,1.0,pleural_effusion_percent_of_hemithorax_involved,post-scan,1898 (23.4%),Positive (0.17
period_span,65.0,period_span,Treatment-period,104 (1.3%),Capreomycin (0.35
Patient stopped treatment,16.0,treatment_status,Treatment-period,0 (0.0%),infiltrate_highdensity (0.15
Pretomanid,11.0,regimen_drug,Treatment-period,0 (0.0%),Bedaquiline (0.11
Amoxicillin-clavulanate,8.0,regimen_drug,Treatment-period,0 (0.0%),Imipenem-cilastatin (0.86
Treatment ended,7.0,treatment_status,Treatment-period,0 (0.0%),Not_reported-Comorbidity (0.31
Adverse event,6.0,treatment_status,Treatment-period,0 (0.0%),Imipenem-cilastatin (0.17
regimen_count,6.0,regimen_count,Treatment-period,0 (0.0%),Continuation of treatment (0.54
Treatment ineffective due to additional resistance,5.0,treatment_status,Treatment-period,0 (0.0%),regimen_count (0.19
Streptomycin,5.0,regimen_drug,Treatment-period,0 (0.0%),Rifampicin (0.18
Antiretroviral therapy,5.0,regimen_drug,Treatment-period,0 (0.0%),Cotrimoxazol preventive (0.9
p-aminosalicylic acid,4.0,regimen_drug,Treatment-period,0 (0.0%),Capreomycin (0.51
Ofloxacin,4.0,regimen_drug,Treatment-period,0 (0.0%),Kanamycin (0.22
Not_Reported-regimen_drug,4.0,regimen_drug,Treatment-period,0 (0.0%),Patient alcohol abuse (0.23
Ethionamide,4.0,regimen_drug,Treatment-period,0 (0.0%),Capreomycin (0.39
Not_Reported-treatment_status,4.0,treatment_status,Treatment-period,0 (0.0%),A19.8 (0.27
Capreomycin,4.0,regimen_drug,Treatment-period,0 (0.0%),p-aminosalicylic acid (0.51
Continuation of treatment,3.0,treatment_status,Treatment-period,0 (0.0%),regimen_count (0.54
Delamanid,3.0,regimen_drug,Treatment-period,0 (0.0%),Clofazimine (0.39
Amikacin,3.0,regimen_drug,Treatment-period,0 (0.0%),Not specified (0.18
Imipenem-cilastatin,3.0,regimen_drug,Treatment-period,0 (0.0%),Amoxicillin-clavulanate (0.86
Kanamycin,3.0,regimen_drug,Treatment-period,0 (0.0%),Prothionamide (0.32
Clofazimine,2.0,regimen_drug,Treatment-period,0 (0.0%),Bedaquiline (0.8
Rifampicin,2.0,regimen_drug,Treatment-period,0 (0.0%),Isoniazid (0.84
Levofloxacin,2.0,regimen_drug,Treatment-period,0 (0.0%),Cycloserine (0.53
Linezolid,2.0,regimen_drug,Treatment-period,0 (0.0%),Bedaquiline (0.79
Clarithromycin,2.0,regimen_drug,Treatment-period,0 (0.0%),lineage1-lineage2 (0.28
Pyrazinamide,1.0,regimen_drug,Treatment-period,0 (0.0%),Ethambutol (0.56
Prothionamide,1.0,regimen_drug,Treatment-period,0 (0.0%),Capreomycin (0.42
Isoniazid,1.0,regimen_drug,Treatment-period,0 (0.0%),Rifampicin (0.84
Ethambutol,1.0,regimen_drug,Treatment-period,0 (0.0%),Isoniazid (0.81
Bedaquiline,1.0,regimen_drug,Treatment-period,0 (0.0%),Clofazimine (0.8
New drugs available,1.0,treatment_status,Treatment-period,0 (0.0%),isanylargecavitybelongtoamultisextantcavity (0.18
